name,scholar_id,affiliation,email_domain,interests,citedby,url_picture
Djwantoro Hardjito,ih679EwAAAAJ,"Professor, Petra Christian University, Indonesia",@petra.ac.id,Geopolymer;Construction Materials;Concrete;Fly Ash;Mortar,8327,https://scholar.google.com/citations?view_op=medium_photo&user=ih679EwAAAAJ
Hatane Semuel,uSA4vUUAAAAJ,Petra Christian University,@petra.ac.id,Marketing;Marketing Research,3981,https://scholar.google.com/citations?view_op=medium_photo&user=uSA4vUUAAAAJ
Doddy Prayogo,Pon2Rx4AAAAJ,"Petra Christian University, Surabaya, Indonesia",@petra.ac.id,Metaheuristics;Computational Intelligence;Data Mining;Civil Engineering;Construction Management,3903,https://scholar.google.com/citations?view_op=medium_photo&user=Pon2Rx4AAAAJ
"Josua Tarigan, Ph.D, CMA, CSRA, CBV, CFP",-KoeN4wAAAAJ,"Associate Professor, School of Business & Management, Petra Christian University",@petra.ac.id,,3723,https://scholar.google.com/citations?view_op=medium_photo&user=-KoeN4wAAAAJ
Hotlan Siagian,9kiTNVMAAAAJ,Petra Christian University,@petra.ac.id,Startegic Management;Supply Chain Management;Operation Management,2980,https://scholar.google.com/citations?view_op=medium_photo&user=9kiTNVMAAAAJ
"Prof. Dr. Eddy Madiono Sutanto, M.Sc.",luUjz1sAAAAJ,"Department of Business Management, Petra Christian University, Indonesia",@petra.ac.id,Strategic HRM;Entrepreneurial Leadership;Managing Diversity,2816,https://scholar.google.com/citations?view_op=medium_photo&user=luUjz1sAAAAJ
Yulius Jogi Christiawan,Gc4hXy4AAAAJ,Petra Christian University,@petra.ac.id,Financial accounting;Auditing,2816,https://scholar.google.com/citations?view_op=medium_photo&user=Gc4hXy4AAAAJ
Zeplin Jiwa Husada Tarigan,0w3ZY48AAAAJ,"Professor of Management, Petra Christian University",@petra.ac.id,Management;Supply Chain Management;ERP,2795,https://scholar.google.com/citations?view_op=medium_photo&user=0w3ZY48AAAAJ
Rudy Setiawan,bIVvdEMAAAAJ,Petra Christian University,@petra.ac.id,Traffic Engineering and Transportation …,1906,https://scholar.google.com/citations?view_op=medium_photo&user=bIVvdEMAAAAJ
Saarce Elsye Hatane,kKnF37QAAAAJ,Accounting Lecturer of Petra Christian University,@petra.ac.id,Managerial Accounting;Financial Accounting;Financial Management,1839,https://scholar.google.com/citations?view_op=medium_photo&user=kKnF37QAAAAJ
Fransisca Andreani,W4IDJvMAAAAJ,"Lecturer of Hotel Management, Faculty of Economy, Petra Christian University",@petra.ac.id,Marketing and Human Resource,1601,https://scholar.google.com/citations?view_op=medium_photo&user=W4IDJvMAAAAJ
Serli Wijaya,lrIy1ZoAAAAJ,"Associate Professor, School of Business and Management, Petra Christian University …",@petra.ac.id,Hospitality & Tourism Marketing;Consumer Behaviour;Special Interest Tourism;Services Marketing,1582,https://scholar.google.com/citations?view_op=medium_photo&user=lrIy1ZoAAAAJ
Ratna Karuna,145aYdkAAAAJ,"Petra Christian University, Surabaya, Indonesia",@petra.ac.id,drug development;analytical chemistry;DMPK;preclinical/GLP;biopharmaceuticals,1300,https://scholar.google.com/citations?view_op=medium_photo&user=145aYdkAAAAJ
Agus Arianto Toly,GwClxjoAAAAJ,"Lecturer of Tax Accounting, Petra Christian University",@petra.ac.id,Tax;Finance;and Financial Accounting,1203,https://scholar.google.com/citations?view_op=medium_photo&user=GwClxjoAAAAJ
Gregorius Satia Budhi,a6-Tvz8AAAAJ,"Assoc. Prof in Informatics Department, Petra Christian University",@petra.ac.id,Artificial Intelligence;Machine Learning;Data and Text Mining;Sentiment Analysis,1184,https://scholar.google.com/citations?view_op=medium_photo&user=a6-Tvz8AAAAJ
Joyce Laurens,NMmVJDcAAAAJ,Petra Christian University,@peter.petra.ac.id,Architecture design;human behavior;semiotics,1182,https://scholar.google.com/citations?view_op=medium_photo&user=NMmVJDcAAAAJ
Gede A. Widyadana,LlXFxcgAAAAJ,"Lecturrer, Industrial Engineering, Petra Christian University",@peter.petra.ac.id,Inventory Management;Supply Chain;Operation Research,1110,https://scholar.google.com/citations?view_op=medium_photo&user=LlXFxcgAAAAJ
Antoni Antoni,GJ1hgyYAAAAJ,Petra Christian University,@petra.ac.id,concrete;fly ash;high calcium fly ash;geopolymer;low cement,1091,https://scholar.google.com/citations?view_op=medium_photo&user=GJ1hgyYAAAAJ
Dr.Ido Prijana Hadi,SKfSCq0AAAAJ,"Doctor of Communication Science, Petra Christian University",@petra.ac.id,Communication Science;Media and Journalism;Communication Theory;Qualitative Research;Radio Studies,1083,https://scholar.google.com/citations?view_op=medium_photo&user=SKfSCq0AAAAJ
Sautma Ronni Basana,WP8hGIUAAAAJ,Universitas Kristen Petra (Petra Christian University),@petra.ac.id,Manajemen;Manajemen Keuangan,1073,https://scholar.google.com/citations?view_op=medium_photo&user=WP8hGIUAAAAJ
Ong Lu Ki,MyJizXQAAAAJ,Petra Christian University,@petra.ac.id,Food Engineering;Chemical Process Engineering;Wastewater treatment;Waste Utilization,1071,https://scholar.google.com/citations?view_op=medium_photo&user=MyJizXQAAAAJ
Endo Wijaya Kartika,-sZJOTUAAAAJ,Petra Christian University,@petra.ac.id,,1065,https://scholar.google.com/citations?view_op=medium_photo&user=-sZJOTUAAAAJ
Njo Anastasia,Kf2J1igAAAAJ,"Finance & Investment Program, Petra Christian University",@petra.ac.id,Property/ Business Valuation;Corporate/ Personal Finance;Financial Behaviour;Real Estate Finance,992,https://scholar.google.com/citations?view_op=medium_photo&user=Kf2J1igAAAAJ
Juliana Anggono,PQF8OD4AAAAJ,"Associate Professor of Mechanical Engineering, Petra Christian University",@petra.ac.id,Synthesis of Ceramic Materials;Natural Fibre Composites,986,https://scholar.google.com/citations?view_op=medium_photo&user=PQF8OD4AAAAJ
Ratih Indriyani,dEWazPIAAAAJ,Petra Christian University,@petra.ac.id,business management,978,https://scholar.google.com/citations?view_op=medium_photo&user=dEWazPIAAAAJ
Agustinus Noertjahyana,PdkyLoYAAAAJ,Petra Christian University,@petra.ac.id,Computer Network;Business Intelligence;Security,900,https://scholar.google.com/citations?view_op=medium_photo&user=PdkyLoYAAAAJ
Andreas Handojo,KUbgSxQAAAAJ,Petra Christian University,@petra.ac.id,Supply Chain Management;Big Data;Decision Support System;Mobile Computing,874,https://scholar.google.com/citations?view_op=medium_photo&user=KUbgSxQAAAAJ
Rolly Intan,SxWNSSoAAAAJ,Petra Christian University,@petra.ac.id,Soft Computing;Fuzzy Sets;Rough Sets;Granular Computing,841,https://scholar.google.com/citations?view_op=medium_photo&user=SxWNSSoAAAAJ
Dhyah Harjanti,FXOKpKIAAAAJ,"Business Management Program, Petra Christian University",@petra.ac.id,Strategic Management;Business Management,829,https://scholar.google.com/citations?view_op=medium_photo&user=FXOKpKIAAAAJ
Alexander Setiawan,-UEzfB0AAAAJ,Associate Professor of Informatics Department Petra Christian University,@petra.ac.id,Information System;Business Intelligence;Software Engineering,817,https://scholar.google.com/citations?view_op=medium_photo&user=-UEzfB0AAAAJ
Resmana Lim,uKjxL-4AAAAJ,Petra Christian University,@petra.ac.id,telematics;computer vision;machine learning;cyber infrastucture;digital repositories,808,https://scholar.google.com/citations?view_op=medium_photo&user=uKjxL-4AAAAJ
Juniarti,-30OXPwAAAAJ,School of  Business and Management-Petra Christian University,@petra.ac.id,Financial Accounting;Family Ownership;GCG;Sustainability Issues,803,https://scholar.google.com/citations?view_op=medium_photo&user=-30OXPwAAAAJ
Deborah Christine Widjaja,JGQIW34AAAAJ,"Lecturer of Hotel Management Program, Petra Christian University",@petra.ac.id,Organizational Development;Human Resource Management;Organizational Behavior;Hospitality,800,https://scholar.google.com/citations?view_op=medium_photo&user=JGQIW34AAAAJ
Lily Puspa Dewi,fCacnq4AAAAJ,Petra Christian University,@petra.ac.id,,743,https://scholar.google.com/citations?view_op=medium_photo&user=fCacnq4AAAAJ
Willyanto Anggono,bko20fsAAAAJ,Petra Christian University,@petra.ac.id,Mechanical engineering;sustainable energy;combustion,718,https://scholar.google.com/citations?view_op=medium_photo&user=bko20fsAAAAJ
Dr. Laksmi Kusuma Wardani,X9HFzXYAAAAJ,"Petra Christian University, Surabaya, Indonesia",@petra.ac.id,interior design;design and culture;cultural heritage;art and design;product design,714,https://scholar.google.com/citations?view_op=medium_photo&user=X9HFzXYAAAAJ
Michael Adiwijaya,XVmfMt4AAAAJ,"Assistan Professor of Marketing, Petra Christian University",@petra.ac.id,Marketing,700,https://scholar.google.com/citations?view_op=medium_photo&user=XVmfMt4AAAAJ
Sesilya Kempa,h0Bn9ww7lO4C,Petra Christian University,@petra.ac.id,Entrepreneurship;Marketing,682,https://scholar.google.com/citations?view_op=medium_photo&user=h0Bn9ww7lO4C
Shu-San Gan,JfjX95IAAAAJ,Petra Christian University,@peter.petra.ac.id,supply chain;remanufacturing;pricing,678,https://scholar.google.com/citations?view_op=medium_photo&user=JfjX95IAAAAJ
Monika Kristanti,2HdYEogAAAAJ,Petra Christian University,@petra.ac.id,Hospitality management,673,https://scholar.google.com/citations?view_op=medium_photo&user=2HdYEogAAAAJ
Henry Novianus Palit,_OJyrKoAAAAJ,"Department of Informatics, Petra Christian University",@petra.ac.id,Distributed Computing;Cloud Computing;Big Data Analysis,668,https://scholar.google.com/citations?view_op=medium_photo&user=_OJyrKoAAAAJ
Inri Inggrit Indrayani,1yQCqi4AAAAJ,"Assistant Professor, Petra Christian University",@petra.ac.id,Public relations;Organizational Communication;Political Communication,632,https://scholar.google.com/citations?view_op=medium_photo&user=1yQCqi4AAAAJ
Andi,Ki-i9fQAAAAJ,"PhD, Petra Christian University",@petra.ac.id,Construction Management,616,https://scholar.google.com/citations?view_op=medium_photo&user=Ki-i9fQAAAAJ
Flora Debora Floris,fylFCeEAAAAJ,"English Department, Petra Christian University",@petra.ac.id,Teacher Professional Development;Technology in Teaching;English as an International Language,613,https://scholar.google.com/citations?view_op=medium_photo&user=fylFCeEAAAAJ
Esther Kuntjara,SHfDZzMAAAAJ,"Professor Emerita of Linguistics and culture, Petra Christian University",@petra.ac.id,Intercultural communication;women studies;Chinese Indonesian studies,612,https://scholar.google.com/citations?view_op=medium_photo&user=SHfDZzMAAAAJ
