pub_id,scholar_ids,year,title,abstract
1,-30OXPwAAAAJ; YDTHPu0AAAAJ,2024,Digitalisasi Sistem Pencatatan Penjualan dan Persediaan Ramah Pengguna Difabel pada UKM Tiara Handycraft,
2,-30OXPwAAAAJ,2024,THE ROLE OF COMPANY REPUTATION AS A MODERATING VARIABLE IN THE RELATIONSHIP BETWEEN CSR AND FIRM PERFORMANCE,
3,-30OXPwAAAAJ,2024,Performance of gender diversity on board of directors: The case of Indonesia,
4,-30OXPwAAAAJ,2023,Does the market respond differently to the timing of the announcement of corporate actions?,"This study aims to expand research evidence related to investor responses to the timing of corporate action announcements. In contrast to previous studies, this study distinguishes corporate action announcements during the development and realization stage. Furthermore, we will also distinguish the types of corporate actions, consisting of new products and systems and technology innovation. Investor’s reactions are measured using cumulative abnormal returns (CAR) with (−5,+5) and (−2,+2) event windows. The Sample is based on 257 corporate action announcements in the automobile manufacturing firms in East Asia from 2017 to 2021. This research found a significant difference in CAR between the development and realization of announcements. Furthermore, it indicates that investors in East Asia react more positively when companies announce the realization of a new product and system and technology …"
5,Gc4hXy4AAAAJ; YDTHPu0AAAAJ,2023,Market Reaction to Capital Expenditure: Evidence from Company in Bankruptcy Risk,
6,-30OXPwAAAAJ,2022,Moderating Effect of Investment Opportunity in the Association of Market Response and Capital Expenditure,"This study aims to reveal empirical evidence related to the market response to investment spending associated with investment opportunities, considering that investment opportunities is a crucial factor in capital expenditure decisions. This study used data from the Indonesia Stock Exchange in 2016-2021. The sample is only devoted to large-cap companies because this kind of company concerns investors more. The sample does not exclude the business sector, as in previous studies. Following previous research, investment opportunities are measured by Tobin's Q (TQ); a TQ of more than 1 indicates a higher investment opportunity and vice versa. The results show that the market responds negatively to investment spending, and investment opportunities moderate the market's response to investment spending. In addition, it was revealed that the industrial sector strengthened the influence of investment spending on market response. Therefore, management needs to consider investment opportunities before making investment expenditures to avoid getting caught up in overinvesting or under-investing, both of which are detrimental to the company. This study also adds empirical evidence in developing countries where the information gap between management and external parties (markets) is still vast."
7,YDTHPu0AAAAJ,2022,The long-term performance of capital expenditure from a fundamental perspective: evidence from indonesia,"This study aims to identify the effect of capital expenditure on the long-term performance on companies listed on the Indonesia Stock Exchange (IDX). Fundamental measurements were used as the internal perspective of performance; This study also tries to fill the gap due to the lack of studies that discuss capital expenditure in Indonesia by providing empirical evidence regarding capital expenditure in the context of Indonesias stock market. Capital expenditure is represented by the growth of fixed assets for the current period. The long-term performance utilizes earnings persistence and is measured using the regression of ROA and ROE for the past six years, and then the coefficients are determined using the lags of ROA and ROE in the three years after capital expenditure. The sample comprises 60 “big cap” companies listed on the IDX at the beginning of the sample period (in 2016) and for four years of the sampling period (2016–2019) with a total of 240 observations. The companies sampled should fulfill the criteria of having complete financial data for the six years before the sampling period. The hypothesis testing proves that capital expenditure impacts long-term performance, with no evidence to the contrary. Additional testing utilizing the control variables generated additional interesting results with important implications."
8,Gc4hXy4AAAAJ; YDTHPu0AAAAJ,2022,Market response and future performance of inefficient investment: Over-investment or under-investment,"There have been many studies on the market response to investment spending, but only a few have examined the market response to the issue of over-investment or under-investment. This study examines the effect of the issue on market response and future financial performance. The sample includes large-cap companies listed on the Indonesia Stock  Exchange (IDX) for 2016–2021. Samples must have at least 120 active trading days for each year. Two hundred and thirty-two observations meet the qualifications. This study adopts the investment inefficiency model developed by previous studies to measure over-investment or under-investment. Residual inefficient investment models are used as over-investment or under-investment scores, in addition to the dummy of the residual category.  Market response is measured by cumulative abnormal returns (CAR), market capitalization (MCAP), and market-to-book value (MTB). Meanwhile, a firm’s performance uses return on assets (ROA) and return on equity (ROE).  The results show that the coefficient of the inefficient investment variable, using both the  residual value and the dummy variable, shows a negative direction, which means the market responds negatively to over-investment or under-investment. However, the value of t is significant at the <0.01 level on the market response variable as measured by MTB, but not significant for the other two proxies. Thus, hypothesis 1 is supported, although not for all market response proxies. The value of the inefficient investment coefficient also shows a negative direction when testing hypothesis 2 and is significant at the <0.1 level. These results are …"
9,Gc4hXy4AAAAJ,2022,"Value relevance, sustainability reporting award, and board structure: An influence and analysis of value relevance","Research on the relevance of the value of sustainability reporting as measured by the Sustainability Reporting Award (SRA) in Indonesia is still rarely studied. In Indonesia, many go-public companies have not realized the importance of reporting the environment and succeeded in getting the SRA due to the costs incurred in carrying out sustainability reporting activities in accordance with Global Reporting Initiative (GRI). The research examined whether there was value relevance in sustainability reporting information and a role for the board structure in supporting companies to obtain awards or not. The research was conducted with six-year data, with a sample of 29 companies that had received SRA at least once from 2014 to 2019. Then, Ohlson’s model was used to measure the value relevance of accounting information and SR, which was seen through changes in R 2. Board structure was proxied with board size, board independence, and board meeting. The test was conducted using SmartPLS. The research results indicate that information on obtaining the SRA does not have the added value relevance, as evidenced by the R 2 value. It does not increase and has an insignificant relationship with stock prices. Meanwhile, the board structure that can influence the company in obtaining the SRA is only the independence of the board. The research contributes to showing the value relevance of accounting information and sustainability reporting observed through SRA in Indonesia. Besides that, observing the roles of board structure encourages sustainability reporting of a company in acquiring an SRA."
10,GwClxjoAAAAJ,2022,REPUTASI PENGELUARAN MODAL DAN ANALISIS FUNDAMENTAL: Perspektif Investor,"Pro dan kontra peran analisis fundamental dan aksi korporasi dalam kaitannya dengan respon investor di pasar sekuritas yang efisien menarik untuk dikaji lebih lanjut. Analisis fundamental penting dalam memberikan tuntunan kepada investor bagaimana memproyeksikan kinerja perusahaan dimasa mendatang berdasarkan informasi yang tersedia saat ini. Investor memiliki tanggung jawab untuk mengambil keputusan investasi yang tepat, oleh karena itu diperlukan informasi yang kompeten untuk membantu melakukan pengambilan keputusan yang tepat.  Aksi korporasi dalam berbagai bentuk memberikan sinyal mengenai kondisi perusahaan ke depan yang ingin disampaikan oleh menajamen kepada investor. Fakta menarik bahwa investor lebih tertarik pada reputasi pengeluaran aset yang dilakukan perusahaan sebagai sinyal pertumbuhan dimasa depan. Pada situasi tersebut, investor nampaknya mengabaikan kinerja keuangan periodik, karena perusahaan yang memiliki reputasi pengeluaran modal yang baik, menjanjikan masa depan yang cemerlang dibanding sekedar kinerja keuangan sesaat. Buku ini mengulas polemik tersebut berdasarkan pada sejumlah penelitian yang dilakukan sebelumnya oleh penulis terkait aspek fundamental, reputasi pengeluaran modal dan respon investor. Temuan empiris dari penelitian tersebut akan memperkaya teori yang ada khususnya terkait pasar sekuritas yang efisien. Penyampaian hasil-hasil empiris ini dalam buku ini akan menjadi komplemen yang menarik dari teori-teori yang terkait dengan pasar sekuritas."
