name,scholar_id,dewey_id,original_names,affiliation,email_domain,interests,citedby,url_picture
-Ing.Victor Y. Risonarta,,1,,,,,,
A Hendro Purwoko,,2,,,,,,
A. B Lal,,3,,,,,,
A. H. M. Van Hooff,,4,,,,,,
A. Harbers,,5,,,,,,
A. J. Chen Tai,,6,,,,,,
A. Y. Setiawan,,7,,,,,,
Ab Lal,,8,,,,,,
Abbas A.Badib,,9,,,,,,
Abdul Rasyid,,10,,,,,,
Abdul Wahab,,11,,,,,,
Achmad Archajadi,,12,,,,,,
Achmad Ashari,,13,,,,,,
Achmad Benyamin,,14,,,,,,
Achmad Faizin,,15,,,,,,
Ad Maas,,16,,,,,,
Adelina Proboyo,,17,,,,,,
Adeline,,18,,,,,,
Adeste Adipriyanti,,19,,,,,,
Adhityawati Kusumawardani S. E. Msc,,20,,,,,,
Adhityawati Kusumawardhani,uDexHokAAAAJ,21,,Petra Christian University,@petra.ac.id,,38,https://scholar.google.com/citations?view_op=medium_photo&user=uDexHokAAAAJ
Adi Santosa,,22,,,,,,
"Adi Santosa, Maarch",,23,,,,,,
Adi Saputra Nugraha,,24,,,,,,
Adi Satria Kurniawan,,25,,,,,,
Adi Wibowo,_Byz_9wAAAAJ,26,,Petra Christian University,@petra.ac.id,Semantic Web;Knowledge Management;Enterprise Architecture,205,https://scholar.google.com/citations?view_op=medium_photo&user=_Byz_9wAAAAJ
Adi Widiadi,,27,,,,,,
Adiel Yuwono,,28,,,,,,
Aditya Andreani,,29,,,,,,
Aditya Umbu Tana Amah,,30,,,,,,
Adrian Wibisono,,31,,,,,,
Adriana Aprilia,,32,,,,,,
Adrienn Eros,,33,,,,,,
Advances In Civil Engineering And Sustainable Architecture,1xE-gJYAAAAJ,34,,Petra Christian University,@petra.ac.id,,73,https://scholar.google.com/citations?view_op=medium_photo&user=1xE-gJYAAAAJ
Adwin Surja Atmadja,,35,,,,,,
Afandi Saleh,,36,,,,,,
Affandi Saleh,,37,,,,,,
Afian Setyanto,,38,,,,,,
Afra Willems,,39,,,,,,
Agievianthi,,40,,,,,,
Agoes Tinus Lis Indrianto,,41,,,,,,
Agung Harianto,oLUGrT0AAAAJ,42,,petra christian university,@petra.ac.id,,373,https://scholar.google.com/citations?view_op=medium_photo&user=oLUGrT0AAAAJ
Agung Hariyanto,,43,,,,,,
Agung Haryono,,44,,,,,,
Agung Riyadi Purwanta,,45,,,,,,
Agus Adhisetiono Sutanto,,46,,,,,,
Agus Arianto Toly,GwClxjoAAAAJ,47,,"Lecturer of Tax Accounting, Petra Christian University",@petra.ac.id,Tax;Finance;and Financial Accounting,1204,https://scholar.google.com/citations?view_op=medium_photo&user=GwClxjoAAAAJ
Agus Dwi Hariyanto,,48,,,,,,
Agus Efendi,,49,,,,,,
Agus Hidayat,,50,,,,,,
Agus Mulyanto,,51,,,,,,
Agus Santoso,,52,,,,,,
Agus Widodo,,53,,,,,,
Agus Wijayanto A,,54,,,,,,
Agusly Irawan Aritonang,,55,,,,,,
Agustinus Noertjahyana,PdkyLoYAAAAJ,56,,Petra Christian University,@petra.ac.id,Computer Network;Business Intelligence;Security,901,https://scholar.google.com/citations?view_op=medium_photo&user=PdkyLoYAAAAJ
Agustinus Nugroho,,57,,,,,,
Ahmad Adib,,58,,,,,,
Ajeng Dyah Puspitasari,,59,,,,,,
Ajeng Putri Palupi,,60,,,,,,
"Alan Darmasaputra, Se, Mpacc., Mbus",,61,,,,,,
"Alan Darmasaputra, Se, Mpacc., Mbus.",6Z2HXQEAAAAJ,62,,Petra Christian University,@petra.ac.id,Accounting,11,https://scholar.google.com/citations?view_op=medium_photo&user=6Z2HXQEAAAAJ
Albert J. Soehardjo,,63,,,,,,
Albert Kuncoro,,64,,,,,,
Albert Ter Harmsel,,65,,,,,,
Albertus L S,,66,,,,,,
Alejandro Moreno Celleri,,67,,,,,,
Aleksandar Terziev,,68,,,,,,
Aletheia Threskeia,sj-VORoAAAAJ,69,,Petra Christian University,@petra.ac.id,,10,https://scholar.google.com/citations?view_op=medium_photo&user=sj-VORoAAAAJ
Alex Van Den Born,,70,,,,,,
Alexander,,71,,,,,,
Alexander Christian,,72,,,,,,
Alexander Dionysius W,,73,,,,,,
Alexander Handoyo,,74,,,,,,
Alexander Muylaert,,75,,,,,,
Alexander Setiawan,-UEzfB0AAAAJ,76,,Associate Professor of Informatics Department Petra Christian University,@petra.ac.id,Information System;Business Intelligence;Software Engineering,816,https://scholar.google.com/citations?view_op=medium_photo&user=-UEzfB0AAAAJ
Alexandri Luthfi R,,77,,,,,,
Ali Djamhuri,,78,,,,,,
Alie Handojo,,79,,,,,,
Alin Kristina,,80,,,,,,
Alpin Gadman Markali S. S,,81,,,,,,
Altrerosje Asri,,82,,,,,,
Alvin Julianto,,83,,,,,,
Alvin Nathaniel Tjondrowiguno,,84,,,,,,
Alvin Raditya,,85,,,,,,
Alvin Raditya Sutopo,,86,,,,,,
Alvin Tjondrowiguno,,87,,,,,,
Ambrosius Matthew Junius Reynaldo,uXqR_dIAAAAJ,88,,"Petra Christian University, Surabaya, Indonesia",@petra.ac.id,Civil Engineering;Construction Management;Optimization in Civil Engineering,5,https://scholar.google.com/citations?view_op=medium_photo&user=uXqR_dIAAAAJ
Amelia,,89,,,,,,
Amelia Anggono,,90,,,,,,
Amelia Sidik,,91,,,,,,
Amelia Sugondo,6RUt-eUAAAAJ,92,,Petra Christian University,@petra.ac.id,mechanical engineering,175,https://scholar.google.com/citations?view_op=medium_photo&user=6RUt-eUAAAAJ
Amin Nusa,,93,,,,,,
Anang Tri Wahyudi,,94,,,,,,
Anastasia,,95,,,,,,
Andereas Pandu Setiawan,GyIzG5MAAAAJ,96,,"Interior Design, Petra Christian University",@petra.ac.id,Interior Design. Material;Ecology,280,https://scholar.google.com/citations?view_op=medium_photo&user=GyIzG5MAAAAJ
Andhi Wijaya,,97,,,,,,
Andi,Ki-i9fQAAAAJ,98,,"PhD, Petra Christian University",@petra.ac.id,Construction Management,616,https://scholar.google.com/citations?view_op=medium_photo&user=Ki-i9fQAAAAJ
Andi Siandika,,99,,,,,,
Andi Widjaja,,100,,,,,,
Andini Emiati,,101,,,,,,
